time,u,y
1.161161161161161282e+01,2.900000000000000000e+02,3.124273457596814865e+02
1.171171171171171288e+01,2.900000000000000000e+02,3.124113023732803072e+02
1.181181181181181294e+01,2.900000000000000000e+02,3.124219480633802846e+02
1.191191191191191301e+01,2.900000000000000000e+02,3.125277076135966468e+02
1.201201201201201307e+01,2.900000000000000000e+02,3.125757724560381803e+02
1.211211211211211314e+01,2.900000000000000000e+02,3.126815879993074532e+02
1.221221221221221320e+01,2.900000000000000000e+02,3.126986851171558328e+02
1.231231231231231327e+01,2.900000000000000000e+02,3.127431719644722534e+02
1.241241241241241333e+01,2.900000000000000000e+02,3.127307988904779563e+02
1.251251251251251340e+01,2.900000000000000000e+02,3.128692001196042725e+02
1.261261261261261346e+01,2.900000000000000000e+02,3.127495672467167651e+02
1.271271271271271353e+01,2.900000000000000000e+02,3.127821959038067234e+02
1.281281281281281359e+01,2.900000000000000000e+02,3.128246367580688911e+02
1.291291291291291365e+01,2.900000000000000000e+02,3.128459505647609262e+02
1.301301301301301372e+01,2.900000000000000000e+02,3.128110886186988751e+02
1.311311311311311378e+01,2.900000000000000000e+02,3.127513943349287047e+02
1.321321321321321385e+01,2.900000000000000000e+02,3.126357000956164711e+02
1.331331331331331391e+01,2.900000000000000000e+02,3.124856840756291945e+02
1.341341341341341398e+01,2.900000000000000000e+02,3.125630708971272043e+02
1.351351351351351404e+01,2.900000000000000000e+02,3.124936320207095832e+02
1.361361361361361411e+01,2.900000000000000000e+02,3.125932528332226639e+02
1.371371371371371417e+01,2.900000000000000000e+02,3.126873336051997398e+02
1.381381381381381424e+01,2.900000000000000000e+02,3.127512568358155249e+02
1.391391391391391430e+01,2.900000000000000000e+02,3.127180128370317220e+02
1.401401401401401436e+01,2.900000000000000000e+02,3.127157869225517288e+02
1.411411411411411443e+01,2.900000000000000000e+02,3.126495254490415618e+02
1.421421421421421449e+01,2.900000000000000000e+02,3.127122159203901788e+02
1.431431431431431456e+01,2.900000000000000000e+02,3.126311303939542086e+02
1.441441441441441462e+01,2.900000000000000000e+02,3.125528479147956773e+02
1.451451451451451469e+01,2.900000000000000000e+02,3.125101514203811348e+02
1.461461461461461475e+01,2.900000000000000000e+02,3.124038206878516917e+02
1.471471471471471482e+01,2.900000000000000000e+02,3.124966663889555889e+02
1.481481481481481488e+01,2.900000000000000000e+02,3.125511638686709261e+02
1.491491491491491495e+01,2.900000000000000000e+02,3.126257927056975063e+02
1.501501501501501679e+01,2.900000000000000000e+02,3.128034017746287532e+02
1.511511511511511685e+01,2.900000000000000000e+02,3.127990242892006449e+02
1.521521521521521692e+01,2.900000000000000000e+02,3.127501881229744640e+02
1.531531531531531698e+01,2.900000000000000000e+02,3.127950250581507703e+02
1.541541541541541704e+01,2.900000000000000000e+02,3.128158132716005753e+02
1.551551551551551711e+01,2.900000000000000000e+02,3.129057018870219053e+02
1.561561561561561717e+01,2.900000000000000000e+02,3.129812651661464429e+02
1.571571571571571724e+01,2.900000000000000000e+02,3.130429677970792000e+02
1.581581581581581730e+01,2.900000000000000000e+02,3.130912593561328663e+02
1.591591591591591737e+01,2.900000000000000000e+02,3.129637031898886903e+02
1.601601601601601743e+01,2.900000000000000000e+02,3.129257013539488526e+02
1.611611611611611750e+01,2.900000000000000000e+02,3.129432858802931037e+02
1.621621621621621756e+01,2.900000000000000000e+02,3.128675823860442051e+02
1.631631631631631763e+01,2.900000000000000000e+02,3.128315255767383860e+02
1.641641641641641769e+01,2.900000000000000000e+02,3.126614928034594527e+02
1.651651651651651775e+01,2.900000000000000000e+02,3.125364519549946181e+02
1.661661661661661782e+01,2.900000000000000000e+02,3.126196819059588847e+02
1.671671671671671788e+01,2.900000000000000000e+02,3.125734926855583353e+02
1.681681681681681795e+01,2.900000000000000000e+02,3.124628691443017487e+02
1.691691691691691801e+01,2.900000000000000000e+02,3.124067151222644156e+02
1.701701701701701808e+01,2.900000000000000000e+02,3.124798210980570730e+02
1.711711711711711814e+01,2.900000000000000000e+02,3.125089942399230836e+02
1.721721721721721821e+01,2.900000000000000000e+02,3.125769280568391082e+02
1.731731731731731827e+01,2.900000000000000000e+02,3.125669614813962767e+02
1.741741741741741833e+01,2.900000000000000000e+02,3.126668426031429249e+02
1.751751751751751840e+01,2.900000000000000000e+02,3.128197439744241137e+02
1.761761761761761846e+01,2.900000000000000000e+02,3.128047351142138837e+02
1.771771771771771853e+01,2.900000000000000000e+02,3.127961155481631863e+02
1.781781781781781859e+01,2.900000000000000000e+02,3.127863983750918351e+02
1.791791791791791866e+01,2.900000000000000000e+02,3.127373653456307920e+02
1.801801801801801872e+01,2.900000000000000000e+02,3.127314210798356839e+02
1.811811811811811879e+01,2.900000000000000000e+02,3.127722611376934765e+02
1.821821821821821885e+01,2.900000000000000000e+02,3.127977056529281867e+02
1.831831831831831892e+01,2.900000000000000000e+02,3.127850460290719639e+02
1.841841841841841898e+01,2.900000000000000000e+02,3.128005105530246510e+02
1.851851851851851904e+01,2.900000000000000000e+02,3.128438778303643062e+02
1.861861861861861911e+01,2.900000000000000000e+02,3.128523028176790604e+02
1.871871871871871917e+01,2.900000000000000000e+02,3.128285176711981990e+02
1.881881881881881924e+01,2.900000000000000000e+02,3.127476634327023817e+02
1.891891891891891930e+01,2.900000000000000000e+02,3.129194512294971560e+02
